Time,Alpha,Beta,Total,Focus,Task
0.0010297298431396484,0.0,0.0,0.0,0,Reading
0.21594786643981934,0.0,1480702.4768451818,80497767.16840015,1,Reading
0.4273355007171631,0.0,1480702.4768451818,80497767.16840015,1,Reading
0.6402087211608887,444.45916039001,101.31220373243002,729942666.8439493,0,Reading
0.851834774017334,444.45916039001,101.31220373243002,729942666.8439493,0,Reading
1.0626027584075928,575.9203199616464,89.58407631401248,697379179.7980001,0,Reading
1.2748653888702393,575.9203199616464,89.58407631401248,697379179.7980001,0,Reading
1.4878368377685547,575.9203199616464,89.58407631401248,697379179.7980001,0,Reading
1.69728422164917,75853.23260697623,16115.00792222438,451625776.5243453,0,Reading
1.9083640575408936,75853.23260697623,16115.00792222438,451625776.5243453,0,Reading
2.118469715118408,24082.216743662288,11414.873397662046,138733250.84179175,0,Reading
2.331620216369629,24082.216743662288,11414.873397662046,138733250.84179175,0,Reading
2.544497013092041,169211.7014870391,47704.17140567995,72687940.14693017,0,Reading
2.7572085857391357,169211.7014870391,47704.17140567995,72687940.14693017,0,Reading
2.9698143005371094,82603.25151187506,336286.01057865954,126417479.02611636,1,Reading
3.179210662841797,82603.25151187506,336286.01057865954,126417479.02611636,1,Reading
3.390029191970825,82603.25151187506,336286.01057865954,126417479.02611636,1,Reading
3.601581573486328,373118.9712621643,454121.19852645986,1653964001.5121922,1,Reading
3.8128695487976074,373118.9712621643,454121.19852645986,1653964001.5121922,1,Reading
4.025781631469727,1911.2040846988784,4166.983638073639,2705615180.9917345,1,Reading
4.239954471588135,1911.2040846988784,4166.983638073639,2705615180.9917345,1,Reading
4.452286005020142,9916.433540968592,1397.3342560519159,2297528060.4323177,0,Reading
4.667780876159668,9916.433540968592,1397.3342560519159,2297528060.4323177,0,Reading
4.880991220474243,43640.06607593147,7817.660954062598,1738884107.7019086,0,Reading
5.094397068023682,43640.06607593147,7817.660954062598,1738884107.7019086,0,Reading
5.307793617248535,5180.726283024913,978.4258877367578,1533510605.4510293,0,Reading
5.520183563232422,5180.726283024913,978.4258877367578,1533510605.4510293,0,Reading
5.7323267459869385,21187.50404179781,7792.263247387515,1292411189.6609468,0,Reading
